Samples	SBS1	SBS2	SBS4	SBS5	SBS13	SBS26	SBS43	SBS58
CRUK0098_SU_T1-R2	0	0	161	141	0	0	0	116
CRUK0098_SU_T1-R3	6	0	171	252	0	0	0	91
CRUK0099_SU_T1-R1	6	35	0	112	60	0	0	83
CRUK0099_SU_T1-R2	6	0	0	200	0	0	0	0
CRUK0099_SU_T1-R3	0	31	0	272	35	0	46	0
CRUK0099_SU_T1-R4	10	13	0	110	27	0	28	36
CRUK0099_SU_T1-R5	5	0	0	103	0	36	0	0
CRUK0099_SU_T1-R6	4	18	0	185	29	0	0	0
CRUK0099_SU_T1-R7	7	0	0	81	0	0	0	31
CRUK0100_SU_T1-R1	120	0	0	815	0	176	0	0
CRUK0100_SU_T1-R2	124	0	0	766	0	166	135	0
CRUK0100_SU_T1-R3	22	0	0	561	0	0	122	0
