Samples	SBS96A	SBS96B	SBS96C	SBS96D
CRUK0096_SU_T1-R7	715	118	183	43
CRUK0097_SU_T1-R1	368	26	49	14
CRUK0097_SU_T1-R2	511	113	151	51
CRUK0098_SU_T1-R1	195	14	25	6
CRUK0098_SU_T1-R2	63	233	103	19
CRUK0098_SU_T1-R3	156	274	71	19
CRUK0099_SU_T1-R1	46	10	206	34
CRUK0099_SU_T1-R2	102	21	54	29
CRUK0099_SU_T1-R3	140	43	152	49
CRUK0099_SU_T1-R4	83	7	97	37
CRUK0099_SU_T1-R5	89	15	20	20
CRUK0099_SU_T1-R6	97	13	108	18
CRUK0099_SU_T1-R7	64	14	29	12
CRUK0100_SU_T1-R1	962	83	39	27
CRUK0100_SU_T1-R2	916	70	32	173
CRUK0100_SU_T1-R3	372	131	60	142
