Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
CRUK0082_SU_T1-R1	4409	0.972	1124.787	25.511%	153.782	24.373%	0.05935	0.948
CRUK0082_SU_T1-R2	999	0.963	292.388	29.268%	40.742	27.123%	0.08587	0.93
CRUK0082_SU_T1-R3	454	0.961	149.165	32.856%	19.637	28.273%	0.14662	0.932
CRUK0082_SU_T1-R4	2412	0.975	538.534	22.327%	74.493	23.179%	0.05725	0.943
CRUK0082_SU_T1-R5	1461	0.955	443.982	30.389%	57.241	29.949%	0.10386	0.887
CRUK0083_SU_T1-R1	7191	0.976	1620.23	22.531%	213.775	21.943%	0.04433	0.943
CRUK0083_SU_T1-R2	5586	0.976	1319.934	23.629%	167.58	21.752%	0.04918	0.946
CRUK0083_SU_T1-R3	3738	0.968	901.557	24.119%	128.058	26.191%	0.05287	0.925
CRUK0083_SU_T1-R4	7130	0.948	2101.626	29.476%	340.197	32.917%	0.09394	0.9
CRUK0084_SU_T1-R1	7268	0.963	2031.106	27.946%	299.739	27.246%	0.06668	0.934
CRUK0084_SU_T1-R2	5209	0.962	1495.069	28.702%	216.174	28.207%	0.07769	0.928
CRUK0084_SU_T1-R3	6813	0.973	1645.032	24.145%	234.685	23.374%	0.0598	0.949
CRUK0084_SU_T1-R4	5998	0.968	1553.146	25.894%	227.948	25.727%	0.0607	0.939
CRUK0085_SU_T1-R1	3899	0.956	1138.643	29.203%	155.421	29.65%	0.06668	0.895
CRUK0085_SU_T1-R2	3887	0.976	849.639	21.858%	114.683	22.845%	0.04783	0.941
CRUK0085_SU_T1-R3	7436	0.947	2315.373	31.137%	328.329	32.992%	0.08126	0.876
CRUK0085_SU_T1-R4	7313	0.963	1876.117	25.655%	263.963	26.922%	0.05413	0.912
CRUK0086_SU_T1-R1	10534	0.98	2225.34	21.125%	316.213	21.273%	0.04419	0.962
CRUK0086_SU_T1-R2	10265	0.97	2532.776	24.674%	362.808	25.516%	0.04888	0.938
CRUK0086_SU_T1-R4	7402	0.97	1672.325	22.593%	268.552	25.452%	0.04976	0.944
CRUK0087_SU_T1-R1	3140	0.953	939.506	29.921%	143.489	32.813%	0.08416	0.911
CRUK0087_SU_T1-R2	6542	0.967	1658.685	25.354%	243.563	26.514%	0.0537	0.936
CRUK0087_SU_T1-R3	5427	0.964	1439.998	26.534%	211.976	27.299%	0.06085	0.93
CRUK0088_SU_T1-R1	9831	0.981	1917.914	19.509%	276.548	20.117%	0.03799	0.961
CRUK0088_SU_T1-R2	5154	0.974	1235.94	23.98%	168.4	23.66%	0.05452	0.948
CRUK0089_SU_T1-R1	2530	0.979	593.418	23.455%	78.486	20.615%	0.05325	0.961
CRUK0089_SU_T1-R2	5692	0.972	1287.501	22.619%	177.716	24.177%	0.04753	0.928
CRUK0090_SU_T1-R1	3232	0.971	790.946	24.472%	112.802	24.278%	0.0695	0.944
CRUK0090_SU_T1-R2	13751	0.966	3044.15	22.138%	472.928	26.405%	0.04514	0.912
CRUK0091_SU_T1-R1	3948	0.983	793.747	20.105%	107.764	18.694%	0.04888	0.969
CRUK0091_SU_T1-R2	12462	0.964	3288.566	26.389%	458.928	26.755%	0.05882	0.922
CRUK0092_SU_T1-R1	6892	0.94	2270.082	32.938%	306.398	34.324%	0.08616	0.837
CRUK0092_SU_T1-R2	11791	0.942	3891.643	33.005%	526.161	33.822%	0.08646	0.854
CRUK0093_SU_T1-R1	3019	0.974	755.126	25.012%	103.807	23.02%	0.05788	0.952
CRUK0093_SU_T1-R2	5380	0.976	1226.1	22.79%	166.527	22.107%	0.04942	0.951
CRUK0094_SU_T1-R1	6271	0.98	1361.649	21.713%	191.889	21.257%	0.04989	0.963
CRUK0094_SU_T1-R2	4577	0.98	1018.924	22.262%	139.679	20.997%	0.05222	0.963
CRUK0094_SU_T1-R3	3264	0.958	960.986	29.442%	146.717	30.076%	0.07964	0.926
CRUK0094_SU_T1-R4	6967	0.981	1525.972	21.903%	211.772	20.752%	0.05159	0.965
