Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0078_SU_T1-R2	2.04E+00	8.59E-01	1.74E+00	1.19E+00	1.33E+00
CRUK0078_SU_T1-R3	1.31E+00	5.89E-01	1.30E+00	5.84E-01	1.15E+00
CRUK0078_SU_T1-R4	1.39E+00	4.49E-01	1.38E+00	3.80E-01	3.18E-01
CRUK0079_SU_T1-R1	4.73E+00	1.29E+00	4.42E+00	2.02E+00	8.05E-01
CRUK0079_SU_T1-R2	9.09E+00	2.16E+00	8.69E+00	3.58E+00	8.41E-01
CRUK0079_SU_T1-R3	8.05E+00	2.12E+00	6.64E+00	3.81E+00	1.06E+00
CRUK0079_SU_T1-R4	1.05E+01	2.39E+00	1.01E+01	3.68E+00	8.34E-01
CRUK0080_SU_T1-R2	1.43E+00	1.07E+00	1.00E+00	2.15E+00	1.36E+00
CRUK0080_SU_T1-R3	1.59E+00	6.16E-01	1.39E+00	4.57E-01	8.40E-01
CRUK0080_SU_T1-R4	2.71E+00	1.04E+00	3.02E+00	1.46E+00	1.04E+00
CRUK0080_SU_T1-R5	3.36E+00	1.50E+00	3.05E+00	2.08E+00	6.57E-01
CRUK0080_SU_T1-R6	2.70E+00	1.17E+00	3.26E+00	1.41E+00	1.34E+00
CRUK0081_SU_T1-R1	1.43E+00	9.29E-01	1.19E+00	7.71E-01	4.81E-01
CRUK0081_SU_T1-R5	3.85E+00	1.82E+00	3.68E+00	1.63E+00	7.64E-01
CRUK0081_SU_T1-R6	7.59E-01	2.29E-01	6.37E-01	3.12E-01	4.03E-01
CRUK0082_SU_T1-R1	7.88E+00	1.98E+00	7.12E+00	3.45E+00	3.71E-01
CRUK0082_SU_T1-R2	5.47E+00	1.32E+00	5.13E+00	2.44E+00	2.86E-01
CRUK0082_SU_T1-R3	1.77E+00	8.74E-01	1.67E+00	9.42E-01	0.00E+00
CRUK0082_SU_T1-R4	9.55E+00	2.49E+00	8.55E+00	3.38E+00	1.32E+00
CRUK0082_SU_T1-R5	4.11E+00	1.84E+00	3.78E+00	2.51E+00	1.03E+00
CRUK0083_SU_T1-R1	1.21E+01	2.98E+00	9.50E+00	7.65E+00	1.00E+00
CRUK0083_SU_T1-R2	1.30E+01	3.07E+00	1.00E+01	9.08E+00	1.62E+00
CRUK0083_SU_T1-R3	9.11E+00	2.55E+00	7.58E+00	7.30E+00	8.08E-01
CRUK0083_SU_T1-R4	2.42E+01	4.43E+00	2.32E+01	9.59E+00	2.50E+00
CRUK0084_SU_T1-R1	9.87E+00	2.04E+00	9.36E+00	3.38E+00	5.12E-01
CRUK0084_SU_T1-R2	6.17E+00	2.01E+00	5.64E+00	2.90E+00	1.07E+00
CRUK0084_SU_T1-R3	5.24E+00	1.14E+00	5.24E+00	1.54E+00	1.07E+00
CRUK0084_SU_T1-R4	6.59E+00	1.63E+00	6.11E+00	2.24E+00	5.51E-01
CRUK0085_SU_T1-R1	1.95E+00	1.74E+00	5.85E+00	6.91E+00	7.19E-01
CRUK0085_SU_T1-R2	3.55E+00	2.62E+00	1.30E+01	1.44E+01	8.86E-01
CRUK0085_SU_T1-R3	2.73E+00	3.26E+00	1.54E+01	1.32E+01	9.44E-01
CRUK0085_SU_T1-R4	5.49E+00	2.75E+00	9.26E+00	8.54E+00	1.04E+00
CRUK0086_SU_T1-R1	1.54E+00	1.80E+00	1.31E+00	1.71E+00	8.39E-01
CRUK0086_SU_T1-R2	5.46E+00	2.51E+00	5.42E+00	3.00E+00	1.09E+00
CRUK0086_SU_T1-R4	2.12E+00	1.98E+00	1.89E+00	2.72E+00	8.26E-01
CRUK0087_SU_T1-R1	1.97E+00	1.73E+00	8.58E+00	7.17E+00	8.90E-01
CRUK0087_SU_T1-R2	1.84E+00	1.65E+00	8.56E+00	7.15E+00	7.13E-01
CRUK0087_SU_T1-R3	1.55E+00	1.16E+00	6.15E+00	5.64E+00	4.85E-01
CRUK0088_SU_T1-R1	2.01E+00	1.34E+00	2.74E+00	3.26E+00	6.31E-01
CRUK0088_SU_T1-R2	3.88E+00	1.65E+00	2.62E+00	4.29E+00	1.11E+00
CRUK0089_SU_T1-R1	7.04E-01	5.40E-01	3.79E-01	5.27E-01	3.65E-01
CRUK0089_SU_T1-R2	1.18E+00	2.51E+00	3.32E+00	2.22E+00	8.69E-01
CRUK0090_SU_T1-R1	9.84E+00	2.03E+00	1.02E+01	3.01E+00	1.51E+00
CRUK0090_SU_T1-R2	1.14E+01	3.02E+00	1.05E+01	3.93E+00	1.16E+00
CRUK0091_SU_T1-R1	7.96E-01	2.58E-01	6.24E-01	4.10E-01	4.79E-01
CRUK0091_SU_T1-R2	1.86E+00	1.19E+00	1.79E+00	9.19E-01	4.23E-01
CRUK0092_SU_T1-R1	2.00E+00	1.15E+00	1.58E+00	1.37E+00	8.80E-01
CRUK0092_SU_T1-R2	9.26E-01	5.98E-01	6.55E-01	4.29E-02	4.93E-01
CRUK0093_SU_T1-R1	1.29E+00	6.33E-01	1.24E+00	5.71E-01	1.30E-01
CRUK0093_SU_T1-R2	1.88E+00	1.80E+00	1.60E+00	2.82E+00	1.06E+00
CRUK0094_SU_T1-R1	1.84E+00	8.95E-01	1.46E+00	1.19E+00	6.79E-01
CRUK0094_SU_T1-R2	2.07E+00	1.20E+00	2.20E+00	8.87E-01	8.50E-01
CRUK0094_SU_T1-R3	1.59E+00	9.13E-01	1.52E+00	1.37E+00	6.23E-01
CRUK0094_SU_T1-R4	1.65E+00	6.26E-01	1.40E+00	1.65E+00	6.41E-01
CRUK0095_SU_T1-R1	1.36E+00	1.02E+00	8.61E-01	1.87E+00	6.65E-01
CRUK0095_SU_T1-R2	1.63E-01	2.38E-01	7.48E-01	2.27E+00	1.84E+00
CRUK0095_SU_T1-R3	1.56E+00	1.69E+00	1.16E+00	2.84E+00	7.42E-01
CRUK0096_SU_T1-R1	3.47E+00	1.81E+00	3.01E+00	2.03E+00	1.26E+00
CRUK0096_SU_T1-R2	4.60E+00	1.38E+00	4.01E+00	2.19E+00	5.34E-01
CRUK0096_SU_T1-R3	3.28E+00	1.21E+00	3.69E+00	1.56E+00	1.18E+00
CRUK0096_SU_T1-R4	5.97E+00	2.58E+00	5.22E+00	3.02E+00	1.18E+00
CRUK0096_SU_T1-R5	5.39E+00	2.37E+00	5.30E+00	3.06E+00	9.27E-01
CRUK0096_SU_T1-R6	3.08E+00	2.41E+00	2.65E+00	2.91E+00	7.85E-01
CRUK0096_SU_T1-R7	7.64E+00	2.36E+00	6.68E+00	4.25E+00	1.11E+00
CRUK0097_SU_T1-R1	4.44E+00	1.22E+00	4.20E+00	1.71E+00	5.65E-01
CRUK0097_SU_T1-R2	5.89E+00	2.00E+00	4.69E+00	3.02E+00	1.09E+00
CRUK0098_SU_T1-R1	2.10E+00	7.17E-01	1.82E+00	8.67E-01	3.71E-01
CRUK0098_SU_T1-R2	1.95E+00	2.16E+00	1.94E+00	2.44E+00	6.84E-01
CRUK0098_SU_T1-R3	2.69E+00	2.33E+00	2.65E+00	1.85E+00	6.05E-01
CRUK0099_SU_T1-R1	1.95E+00	1.47E+00	7.50E+00	6.74E+00	6.72E-01
CRUK0099_SU_T1-R2	2.15E+00	8.01E-01	2.11E+00	1.45E+00	7.67E-01
CRUK0099_SU_T1-R3	2.99E+00	1.46E+00	4.64E+00	4.65E+00	8.85E-01
CRUK0099_SU_T1-R4	1.90E+00	4.07E-01	2.41E+00	2.46E+00	8.07E-01
CRUK0099_SU_T1-R5	1.44E+00	6.35E-01	1.37E+00	1.26E+00	6.08E-01
CRUK0099_SU_T1-R6	1.85E+00	9.60E-01	3.35E+00	3.40E+00	6.35E-01
CRUK0099_SU_T1-R7	1.50E+00	6.68E-01	1.46E+00	8.94E-01	4.40E-01
CRUK0100_SU_T1-R1	1.01E+01	2.61E+00	9.55E+00	3.48E+00	7.98E-01
CRUK0100_SU_T1-R2	8.34E+00	2.40E+00	8.57E+00	3.08E+00	1.75E+00
CRUK0100_SU_T1-R3	5.80E+00	2.13E+00	5.41E+00	2.34E+00	1.87E+00
