Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0077_SU_T1-R2	1186	36	108	38	48
CRUK0077_SU_T1-R3	2795	171	199	141	130
CRUK0078_SU_T1-R2	205	0	0	25	83
CRUK0078_SU_T1-R3	29	8	1	0	120
CRUK0078_SU_T1-R4	73	3	7	0	4
CRUK0079_SU_T1-R1	497	39	19	35	32
CRUK0079_SU_T1-R2	770	98	62	72	21
CRUK0079_SU_T1-R3	791	95	118	106	47
CRUK0079_SU_T1-R4	854	97	65	91	33
CRUK0080_SU_T1-R2	34	35	0	30	82
CRUK0080_SU_T1-R3	128	5	8	0	39
CRUK0080_SU_T1-R4	170	16	14	12	61
CRUK0080_SU_T1-R5	167	72	34	43	17
CRUK0080_SU_T1-R6	133	30	24	32	105
CRUK0081_SU_T1-R1	68	43	14	10	8
CRUK0081_SU_T1-R5	238	88	51	40	23
CRUK0081_SU_T1-R6	37	0	2	0	4
CRUK0082_SU_T1-R1	689	67	80	8	0
CRUK0082_SU_T1-R2	449	17	31	25	2
CRUK0082_SU_T1-R3	212	18	0	30	0
CRUK0082_SU_T1-R4	739	143	95	34	56
CRUK0082_SU_T1-R5	242	116	40	49	35
CRUK0083_SU_T1-R1	1015	115	261	130	34
CRUK0083_SU_T1-R2	1119	102	315	200	85
CRUK0083_SU_T1-R3	602	160	288	191	20
CRUK0083_SU_T1-R4	2326	111	195	208	204
CRUK0084_SU_T1-R1	701	65	72	19	12
CRUK0084_SU_T1-R2	682	91	70	37	33
CRUK0084_SU_T1-R3	336	24	48	10	73
CRUK0084_SU_T1-R4	492	54	64	17	6
CRUK0085_SU_T1-R1	19	122	220	0	17
CRUK0085_SU_T1-R2	98	180	456	0	29
CRUK0085_SU_T1-R3	0	124	353	259	19
CRUK0085_SU_T1-R4	394	138	250	258	21
CRUK0086_SU_T1-R1	73	166	3	78	28
CRUK0086_SU_T1-R2	399	194	12	138	34
CRUK0086_SU_T1-R4	22	158	1	140	22
CRUK0087_SU_T1-R1	0	6	231	128	39
CRUK0087_SU_T1-R2	0	16	215	113	16
CRUK0087_SU_T1-R3	31	5	162	55	8
CRUK0088_SU_T1-R1	87	101	91	25	13
CRUK0088_SU_T1-R2	256	114	131	27	43
CRUK0089_SU_T1-R1	17	9	0	5	4
CRUK0089_SU_T1-R2	5	309	0	58	18
CRUK0090_SU_T1-R1	922	48	34	46	105
CRUK0090_SU_T1-R2	1237	231	124	71	45
CRUK0091_SU_T1-R1	45	2	0	5	14
CRUK0091_SU_T1-R2	116	61	8	15	8
CRUK0092_SU_T1-R1	162	49	36	7	26
CRUK0092_SU_T1-R2	56	22	0	0	16
CRUK0093_SU_T1-R1	92	15	13	1	1
CRUK0093_SU_T1-R2	39	204	0	122	20
CRUK0094_SU_T1-R1	98	13	11	32	21
CRUK0094_SU_T1-R2	137	44	10	0	20
CRUK0094_SU_T1-R3	94	28	0	41	19
CRUK0094_SU_T1-R4	69	8	8	76	8
CRUK0095_SU_T1-R1	37	38	0	59	13
CRUK0095_SU_T1-R2	0	0	0	103	41
CRUK0095_SU_T1-R3	21	42	0	127	13
CRUK0096_SU_T1-R1	218	144	52	68	62
CRUK0096_SU_T1-R2	426	2	30	40	10
CRUK0096_SU_T1-R3	273	38	11	3	69
CRUK0096_SU_T1-R4	596	191	80	57	49
CRUK0096_SU_T1-R5	472	156	61	135	30
CRUK0096_SU_T1-R6	209	129	48	166	18
CRUK0096_SU_T1-R7	681	102	107	134	35
CRUK0097_SU_T1-R1	354	22	38	31	12
CRUK0097_SU_T1-R2	485	96	85	119	41
CRUK0098_SU_T1-R1	191	11	13	20	5
CRUK0098_SU_T1-R2	57	216	22	111	12
CRUK0098_SU_T1-R3	152	257	18	79	14
CRUK0099_SU_T1-R1	4	0	188	74	30
CRUK0099_SU_T1-R2	88	16	43	34	25
CRUK0099_SU_T1-R3	100	33	154	53	44
CRUK0099_SU_T1-R4	60	0	87	46	31
CRUK0099_SU_T1-R5	85	11	7	24	17
CRUK0099_SU_T1-R6	69	6	108	37	16
CRUK0099_SU_T1-R7	60	11	11	27	10
CRUK0100_SU_T1-R1	934	81	69	1	26
CRUK0100_SU_T1-R2	880	72	84	0	155
CRUK0100_SU_T1-R3	354	121	45	61	124
